City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,oum hadjer,13.2954,19.6966,27.52,70,84,2.79,TD,1724263928
247,mena,51.5217,32.2157,26.0,20,24,3.38,UA,1724263928
248,anadyr,64.75,177.4833,6.28,100,40,4.0,RU,1724263928
249,ketchikan,55.3422,-131.6461,14.87,74,18,2.85,US,1724263928
250,mizque,-17.941,-65.3402,28.02,26,8,4.73,BO,1724263929
251,dryden,49.7833,-92.7503,25.16,47,0,4.63,CA,1724263929
252,enewetak,11.3474,162.3373,28.61,77,100,5.18,MH,1724263929
253,angaur state,6.906,134.13,29.45,69,76,2.07,PW,1724263929
254,kapuskasing,49.4169,-82.4331,22.55,33,15,0.88,CA,1724263802
255,nagqu,31.5,92.0,3.58,86,6,1.85,CN,1724263929
256,bagula,23.3167,88.65,27.71,88,95,3.67,IN,1724263929
257,cabedelo,-6.9811,-34.8339,29.37,76,16,7.14,BR,1724263929
258,sugito,36.0333,139.7333,29.41,88,100,2.64,JP,1724263930
259,novi knezevac,46.05,20.1,27.55,37,67,7.09,RS,1724263930
260,saint-philippe,-21.3585,55.7679,20.05,76,55,7.09,RE,1724263930
261,banamba,13.55,-7.45,26.89,76,58,2.83,ML,1724263930
262,polyarnyy,69.1989,33.4478,15.96,61,98,5.38,RU,1724263930
263,fisterra,42.9049,-9.2629,19.89,79,0,11.24,ES,1724263930
264,waingapu,-9.6567,120.2641,23.5,87,31,3.03,ID,1724263930
265,vila nova de foz coa,41.0637,-7.2039,33.07,30,32,3.72,PT,1724263930
266,qingdao,36.0986,120.3719,25.91,86,100,2.02,CN,1724263817
267,sabang,5.8933,95.3214,29.17,73,100,5.33,ID,1724263931
268,kone,-21.0595,164.8658,15.69,92,0,2.21,NC,1724263931
269,ellsworth,44.5434,-68.4195,21.05,77,0,4.12,US,1724263864
270,panaba,21.2833,-88.2667,34.42,43,90,3.08,MX,1724263931
271,kupang,-10.1667,123.5833,22.89,86,69,1.52,ID,1724263931
272,puerto lleras,3.0223,-73.4044,34.9,39,8,0.59,CO,1724263931
273,simanggang,1.2472,111.4528,22.7,100,100,0.37,MY,1724263931
274,sibirskiy,53.5777,83.7577,15.44,85,70,2.21,RU,1724263931
275,vorgashor,67.5833,63.95,7.95,88,98,3.45,RU,1724263931
276,kingston,17.997,-76.7936,33.98,66,29,1.09,JM,1724263931
277,lazaro cardenas,17.9583,-102.2,31.35,57,35,3.02,MX,1724263932
278,khandyga,62.6667,135.6,10.43,82,87,0.81,RU,1724263932
279,vorkuta,67.5,64.0,8.33,88,98,3.19,RU,1724263932
280,saacow,1.6279,42.4407,26.27,61,68,9.36,SO,1724263932
281,praia da vitoria,38.7333,-27.0667,27.64,69,20,3.23,PT,1724263932
282,tehri,30.3833,78.4833,22.86,95,81,0.69,IN,1724263932
283,edd,13.9297,41.6925,32.8,53,100,2.82,ER,1724263932
284,peniche,39.3558,-9.3811,22.34,81,2,6.51,PT,1724263932
285,touros,-5.1989,-35.4608,27.69,66,3,8.26,BR,1724263932
286,siguiri,11.6667,-9.5,24.76,93,74,2.48,GN,1724263932
287,awjilah,29.1081,21.2869,37.33,16,0,3.37,LY,1724263933
288,jutai,-5.1833,-68.9,35.39,35,38,1.58,BR,1724263933
289,alotau,-10.3069,150.4462,24.13,94,100,1.53,PG,1724263773
290,kerema,-7.9631,145.7785,25.4,91,95,1.87,PG,1724263933
291,basirpur,30.5832,73.829,30.86,61,19,1.51,PK,1724263933
292,madanapalle,13.55,78.5,22.89,75,87,5.9,IN,1724263933
293,belmonte,-15.8631,-38.8828,26.19,64,43,2.76,BR,1724263933
294,ust-nera,64.5667,143.2,7.1,70,20,2.42,RU,1724263934
295,aras-asan,8.8908,126.3033,26.32,85,99,2.19,PH,1724263934
296,muscat,23.6139,58.5922,29.6,75,0,1.6,OM,1724263934
297,greymouth,-42.4667,171.2,3.55,94,98,2.98,NZ,1724263746
298,olinda,-8.0089,-34.8553,27.85,69,40,7.72,BR,1724263813
299,kerikeri,-35.2268,173.9474,7.17,92,16,1.51,NZ,1724263934
300,makubetsu,45.3714,141.8211,19.67,93,100,8.03,JP,1724263934
301,toliara,-23.35,43.6667,21.77,61,0,3.47,MG,1724263934
302,yangambi,0.8102,24.4336,21.36,85,100,0.36,CD,1724263934
303,puerto leguizamo,-0.1934,-74.7819,35.74,37,22,0.51,CO,1724263934
304,port alfred,-33.5906,26.891,14.54,68,28,6.26,ZA,1724263935
305,tazovsky,67.4667,78.7,10.0,80,24,0.94,RU,1724263935
306,corner brook,48.9667,-57.9484,14.12,98,100,2.28,CA,1724263935
307,bardai,11.65,7.2333,23.19,86,83,3.34,NG,1724263935
308,mantua,45.1667,10.7833,30.19,69,55,0.45,IT,1724263793
309,chonchi,-42.6128,-73.8092,10.07,76,57,0.99,CL,1724263935
310,masterton,-40.9597,175.6575,4.53,97,12,1.68,NZ,1724263935
311,ondjiva,-17.0667,15.7333,21.48,10,1,2.98,AO,1724263936
312,namibe,-15.1961,12.1522,17.76,89,34,2.03,AO,1724263936
313,hirara,24.8,125.2833,29.05,83,13,6.4,JP,1724263936
314,port saint john's,-31.6229,29.5448,17.98,73,54,11.5,ZA,1724263936
315,barcelos,41.5388,-8.6151,25.0,53,51,3.09,PT,1724263650
316,beas de segura,38.2524,-2.8888,29.79,43,42,2.86,ES,1724263936
317,brookings,44.3114,-96.7984,22.32,78,100,10.8,US,1724263934
318,besisahar,28.2313,84.3761,21.02,87,85,2.52,NP,1724263936
319,spring creek,40.7266,-115.5859,25.45,15,0,2.24,US,1724263936
320,chul'man,56.8479,124.9104,10.26,94,82,1.32,RU,1724263936
321,el hadjira,32.6134,5.5126,36.93,19,1,4.83,DZ,1724263937
322,geraldton,-28.7667,114.6,15.23,82,75,5.14,AU,1724263937
323,moundou,8.5667,16.0833,23.25,93,81,1.79,TD,1724263937
324,kurmuk,10.55,34.2833,20.81,97,99,1.35,SD,1724263937
325,bodaybo,57.8506,114.1933,12.3,90,47,0.12,RU,1724263937
326,bhamo,24.2667,97.2333,24.0,99,98,0.61,MM,1724263937
327,sengkang,-4.1279,120.0297,22.51,91,94,1.26,ID,1724263938
328,lake albert,-35.1667,147.3833,8.81,95,93,0.81,AU,1724263938
329,sovetskaya gavan',48.9723,140.2878,17.55,69,100,0.96,RU,1724263934
330,alta,69.9689,23.2717,18.59,65,0,3.09,NO,1724263938
331,talnakh,69.4865,88.3972,14.12,68,67,2.58,RU,1724263938
332,tolanaro,-25.0319,46.9987,22.04,64,20,8.23,MG,1724263938
333,turpan,42.9333,89.1667,30.44,36,52,3.88,CN,1724263938
334,bandar lampung,-5.4254,105.258,22.51,95,56,0.91,ID,1724263800
335,kenora,49.8167,-94.4337,23.54,56,75,6.71,CA,1724263939
336,lethem,3.3803,-59.7968,34.06,47,31,0.83,GY,1724263939
337,weno,7.4515,151.8468,26.97,83,100,3.09,FM,1724263939
338,fauske,67.2588,15.3918,11.08,98,100,2.18,NO,1724263939
339,chilliwack,49.1747,-121.9443,19.19,79,100,1.54,CA,1724263939
340,pathein,16.7833,94.7333,24.25,95,100,1.67,MM,1724263939
341,berezovyy,51.6667,135.7,17.59,66,100,1.27,RU,1724263939
342,miri,4.4148,114.0089,24.79,93,99,2.07,MY,1724263939
343,abu dhabi,24.4667,54.3667,34.97,68,0,4.12,AE,1724263935
344,byford,-32.2167,116.0,14.28,90,100,2.06,AU,1724263939
345,kuanda,56.3161,116.0806,13.5,80,82,1.51,RU,1724263940
346,ingeniero jacobacci,-41.3427,-69.5448,5.39,46,10,3.94,AR,1724263940
347,severnoye,56.3491,78.3619,11.92,93,76,2.02,RU,1724263940
348,taytay,14.5678,121.1394,28.96,87,75,0.51,PH,1724263940
349,pampa del indio,-26.0647,-59.919,24.9,63,99,4.22,AR,1724263940
350,tot'ma,59.9747,42.7642,14.82,74,39,1.58,RU,1724263940
351,rio hato,8.3833,-80.1667,30.82,70,100,4.12,PA,1724263940
352,alice,27.7523,-98.0697,38.09,37,0,4.12,US,1724263940
353,dubbo,-32.25,148.6167,9.07,100,100,0.0,AU,1724263940
354,lorengau,-2.0226,147.2712,27.02,83,27,5.15,PG,1724263940
355,chunskiy,56.0815,99.6342,14.04,90,29,1.66,RU,1724263941
356,yuzhno-kurilsk,44.0306,145.8556,16.54,92,73,4.85,RU,1724263941
357,cannonvale,-20.2833,148.7,19.66,78,92,3.49,AU,1724263941
358,longboat key,27.4125,-82.659,32.22,78,20,4.12,US,1724263941
359,keflavik,64.0049,-22.5624,9.24,81,0,10.29,IS,1724263941
360,reserva,-24.6503,-50.8506,29.0,25,0,3.34,BR,1724263941
361,tangalle,6.024,80.7911,23.36,93,100,3.63,LK,1724263941
362,kailua-kona,19.6406,-155.9956,25.89,98,75,4.12,US,1724263942
363,alice springs,-23.7,133.8833,14.75,47,1,0.0,AU,1724263942
364,zhigalovo,54.8097,105.1578,12.55,80,9,1.0,RU,1724263942
365,comodoro rivadavia,-45.8667,-67.5,6.63,72,100,4.28,AR,1724263942
